강의 명,강의 카테고리명
영어로배우는 키성장요가,사회/교양
창의쑥쑥키즈페인팅,사회/교양
건강튼튼 어린이발레,사회/교양
팝송으로 배우는 잉글리쉬,사회/교양
시니어 모델워킹,사회/교양
시니어 놀이교실,사회/교양
엔트리 탐험대-코딩 놀이터,사회/교양
"글로벌 취업준비_영문이력서,영어면접 준비",콘텐츠산업 전문과정
유통관리사 2급 자격증 준비반,사회/교양
자존감회복!스트레스관리법,사회/교양
알로하 우쿨렐레교실,사회/교양
"힐링, 칼림바",사회/교양
스토리 클래식,사회/교양
컴퓨터 활용능력 실습반,사회/교양
chat GPT를 활용한 영상콘텐츠 제작,콘텐츠산업 전문과정
정리수납컨설턴트 2급,사회/교양
[수 오후]붓켄 캘리그라피(초급),사회/교양
사회복지현장실무자양성과정,사회/교양
초등돌봄전담사양성과정,사회/교양
요양보호사취득-7월신규자반,사회/교양
요양보호사취득-7월사회복지사 소지자반(야간),사회/교양
전산회계2급 자격증,사회/교양
"AI 시대 신직업, 프롬프트 디자이너 도전하기",사회/교양
"디자인툴로 홍보물 제작하기 2 : 망고보드, 캔바",사회/교양
"생성형 AI 마스터클래스 2 :  챗GPT, 디스코드, 챗봇",사회/교양
"1인미디어 수익형 플랫폼 활용하기 : 인스타그램, 블로그, 카카오",사회/교양
공공데이터를 활용한 빅데이터 시각화,사회/교양
엑셀 활용(엑셀기초+ITQ엑셀 자격증 취득),콘텐츠산업 전문과정
엑셀 활용(엑셀기초+ITQ엑셀 자격증 취득),콘텐츠산업 전문과정
단위화훼장식향상(이벤트플라워),사회/교양
영유아돌보미(베이비시터)-주말반,사회/교양
인지여가교육지도사/야간,사회/교양
인지여가교육지도사,사회/교양
정리수납전문가,사회/교양
김은경의 소통 프로젝트Ⅱ (심리상담사/ 행복 마인드컨설팅 전문가),사회/교양
실버음악활동지도사,사회/교양
실버음악활동지도사,사회/교양
미술심리상담사2급,사회/교양
색채심리상담사2급,사회/교양
한국사지도사,사회/교양
노인인지미술활동지도사,사회/교양
건강체육지도사-야간,사회/교양
웃음레크건강지도사_야간,사회/교양
요양보호사 자격증 취득과정(신규/주간반),사회/교양
스마트폰 교육강사,기타
민화 그리기(수채화),사회/교양
