"아이디","강의 아이디","강의 카테고리 아이디","강의 카테고리명","강의 명","비용","강의 구분","주차 사용 여부","분반 일련번호","수강신청 시작 일자","강의 시작 일자","등록 일자","수강신청 시작 일자","수료증 로트 명","기관 아이디","기관명","기관 구","X좌표","Y좌표","요청여부","인기여부","신규여부","상태","강의 이미지 파일 경로","수집데이터 아이디","과목 아이디","미리보기 주소","콘텐츠 아이디","회차번호","회차수"
"ASP00001","ASP00001S100120240107312","202303131239826","인권","기후위기와 인권, 그리고 새로운 사회로 전환","무료","1","N","01","2024.06.04~2024.12.31","수강신청일로부터7일","2024.06.03","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/06/썸네일(기후위기와 인권)-2.jpg","","S12330","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107312/01.mp4/playlist.m3u8","202406031418241717391904759","131892","1"
"ASP00001","ASP00001S100120240107309","202303136122092","사회/교양","2024년 서울시 온라인 예산학교","무료","1","N","01","2024.06.01~2024.12.31","수강신청일로부터15일","2024.05.30","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/05/붙임3. 서울시 온라인 예산학교 썸네일.jpg","","S12329","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107309/01.mp4/playlist.m3u8","202405300922101717028530137","131886","1"
"ASP00001","ASP00001S100120240107300","202303136122092","사회/교양","두 마리 토끼를 잡아라, 서울시 일?생활 균형 온라인 교육","무료","1","N","01","2024.05.21~2024.12.31","수강신청일로부터7일","2024.05.21","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/05/썸네일 이미지[4].jpg","","S12328","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107300/01.mp4/playlist.m3u8","202405210908101716250090783","131880","1"
"ASP00001","ASP00001S100120240107290","202303095029768","직업상담사","직업상담사 필기 - 노동관계법규","무료","1","N","01","2024.05.22~2024.12.31","수강신청일로부터30일","2024.05.20","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/thumbnails/ASP00001S100120240107290.png","","S12324","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107290/01.mp4/playlist.m3u8","202405201528271716186507758","131809","1"
"ASP00001","ASP00001S100120240107291","202303095029768","직업상담사","직업상담사 필기 - 노동시장론","무료","1","N","01","2024.05.22~2024.12.31","수강신청일로부터30일","2024.05.20","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/thumbnails/ASP00001S100120240107291.png","","S12325","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107291/01.mp4/playlist.m3u8","202405201535201716186920175","131836","1"
"ASP00001","ASP00001S100120240107293","202303095029768","직업상담사","직업상담사 필기 - 직업정보론","무료","1","N","01","2024.05.22~2024.12.31","수강신청일로부터30일","2024.05.20","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/thumbnails/ASP00001S100120240107293.png","","S12327","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107293/01.mp4/playlist.m3u8","202405201540411716187241424","131869","1"
"ASP00001","ASP00001S100120240107292","202303095029768","직업상담사","직업상담사 필기 - 직업심리학","무료","1","N","01","2024.05.22~2024.12.31","수강신청일로부터30일","2024.05.20","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/thumbnails/ASP00001S100120240107292.png","","S12326","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107292/01.mp4/playlist.m3u8","202405201537231716187043516","131850","1"
"ASP00001","ASP00001S100120240107212","202303095029768","직업상담사","직업상담사 필기 - 직업상담학","무료","1","N","01","2024.05.01~2024.12.31","수강신청일로부터30일","2024.04.30","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/thumbnails/ASP00001S100120240107212.png","","S12322","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107212/01.mp4/playlist.m3u8","202404300931251714437085237","131741","1"
"ASP00001","ASP00001S100120240107208","202303092587862","전문기술과정","한글 2022 제대로 배우기 완전정복편","무료","1","N","01","2024.04.25~2024.12.31","수강신청일로부터30일","2024.04.24","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","https://sll.seoul.go.kr//upload/course/ASP00001/2024/thumbnails/ASP00001S100120240107208.png","","S12321","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107208/01.mp4/playlist.m3u8","202404241001221713920482278","131721","1"
"ASP00001","ASP00001S100120240107206","202303092587862","전문기술과정","일잘러의 진짜 엑셀 완전정복편","무료","1","N","01","2024.04.25~2024.12.31","수강신청일로부터30일","2024.04.24","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","https://sll.seoul.go.kr//upload/course/ASP00001/2024/thumbnails/ASP00001S100120240107206.png","","S12319","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107206/01.mp4/playlist.m3u8","202404240944271713919467564","131627","1"
