"사이트 아이디","ASP 아이디","강의 아이디","강의 구분","강의 명","수강신청 시작 일자","수강신청 종료 일자","강의 시작 일자","강의 종료 일자","강의대상","정원","수강신청 URL","등록 일자","수정 일자","교육기관 고유아이디","교육기관명","교육기관 자치구","교육기관 위도 좌표","교육기관 경도 좌표"
"lc1","ASP00001","ASP00001Z401120240000082","오프라인","영어로배우는 키성장요가","202406100000","202407020000","20240702","20240820","","14","https://www.seoullifelong.co.kr/index.php?module=Board&action=SiteBoardAll&sMode=VIEW_FORM&iBrdNo=16&iBrdContNo=31&sBrdContRe=0&sSearchField=brd_title&sSearchValue=%EC%9A%94%EA%B0%80&CurrentPage=1","20240610111046","20240610111046","Z4011","서울관악복합평생교육센터","관악구","37.4726115","126.957554"
"lc1","ASP00001","ASP00001Z401120240000084","오프라인","창의쑥쑥키즈페인팅","202406100000","202407100000","20240710","20240731","","15","https://www.seoullifelong.co.kr/index.php?module=Board&action=SiteBoardAll&sMode=VIEW_FORM&iBrdNo=16&iBrdContNo=30&sBrdContRe=0&sSearchField=brd_title&sSearchValue=%ED%8E%98%EC%9D%B8%ED%8C%85&CurrentPage=1","20240610111046","20240610111046","Z4011","서울관악복합평생교육센터","관악구","37.4726115","126.957554"
"lc1","ASP00001","ASP00001Z401120240000083","오프라인","건강튼튼 어린이발레","202406100000","202407080000","20240708","20240823","","12","https://www.seoullifelong.co.kr/index.php?module=Board&action=SiteBoardAll&sMode=VIEW_FORM&iBrdNo=16&iBrdContNo=32&sBrdContRe=0&sSearchField=brd_title&sSearchValue=%EB%B0%9C%EB%A0%88&CurrentPage=1","20240610111046","20240610111046","Z4011","서울관악복합평생교육센터","관악구","37.4726115","126.957554"
"lc1","ASP00001","ASP00001Z401120240000085","오프라인","팝송으로 배우는 잉글리쉬","202406100000","202407020000","20240702","20240820","","15","https://www.seoullifelong.co.kr/index.php?module=Board&action=SiteBoard&sMode=VIEW_FORM&iBrdNo=6&iBrdContNo=92&sBrdContRe=0&sSearchField=&sSearchValue=&CurrentPage=1","20240610111046","20240610111046","Z4011","서울관악복합평생교육센터","관악구","37.4726115","126.957554"
"lc1","ASP00001","ASP00001Z401120240000078","오프라인","시니어 모델워킹","202406100000","202407010000","20240701","20240724","","25","https://www.seoullifelong.co.kr/index.php?module=Board&action=SiteBoardAll&sMode=VIEW_FORM&iBrdNo=16&iBrdContNo=37&sBrdContRe=0&sSearchField=&sSearchValue=&CurrentPage=1","20240610111045","20240610111045","Z4011","서울관악복합평생교육센터","관악구","37.4726115","126.957554"
"lc1","ASP00001","ASP00001Z401120240000077","오프라인","시니어 놀이교실","202406100000","202407100000","20240710","20240828","","16","https://www.seoullifelong.co.kr/index.php?module=Board&action=SiteBoardAll&sMode=VIEW_FORM&iBrdNo=16&iBrdContNo=36&sBrdContRe=0&sSearchField=&sSearchValue=&CurrentPage=1","20240610111045","20240610111045","Z4011","서울관악복합평생교육센터","관악구","37.4726115","126.957554"
"lc1","ASP00001","ASP00001Z401120240000076","오프라인","엔트리 탐험대-코딩 놀이터","202406100000","202407030000","20240703","20240724","","15","https://www.seoullifelong.co.kr/index.php?module=Board&action=SiteBoardAll&sMode=VIEW_FORM&iBrdNo=5&iBrdContNo=82&sBrdContRe=0&sSearchField=brd_title&sSearchValue=%EC%BD%94%EB%94%A9&CurrentPage=1","20240610111045","20240610111045","Z4011","서울관악복합평생교육센터","관악구","37.4726115","126.957554"
"lc1","ASP00001","ASP00001Z401120240000075","오프라인","글로벌 취업준비_영문이력서,영어면접 준비","202406100000","202407080000","20240708","20240722","","10","https://www.seoullifelong.co.kr/index.php?module=Board&action=SiteBoard&sMode=VIEW_FORM&iBrdNo=3&iBrdContNo=41&sBrdContRe=0&sSearchField=&sSearchValue=&CurrentPage=1","20240610111045","20240610111045","Z4011","서울관악복합평생교육센터","관악구","37.4726115","126.957554"
"lc1","ASP00001","ASP00001Z401120240000073","오프라인","유통관리사 2급 자격증 준비반","202406100000","202407050000","20240628","20240816","","16","https://www.seoullifelong.co.kr/index.php?module=Board&action=SiteBoard&sMode=VIEW_FORM&iBrdNo=1&iBrdContNo=40&sBrdContRe=0&sSearchField=&sSearchValue=&CurrentPage=1","20240610111045","20240610111045","Z4011","서울관악복합평생교육센터","관악구","37.4726115","126.957554"
"lc1","ASP00001","ASP00001Z401120240000074","오프라인","자존감회복!스트레스관리법","202406100000","202407040000","20240704","20240718","","20","https://www.seoullifelong.co.kr/index.php?module=Board&action=SiteBoard&sMode=VIEW_FORM&iBrdNo=3&iBrdContNo=40&sBrdContRe=0&sSearchField=&sSearchValue=&CurrentPage=1","20240610111045","20240610111045","Z4011","서울관악복합평생교육센터","관악구","37.4726115","126.957554"
